Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
Q9GZZ1,A0A087WWJ2;A0A0D9SF32;B0AZT5;C9J5D1;C9J5J3;E7EQ69;Q9GZZ1-2;Q9GZZ1,NAA50_HUMAN,NAA50,5,N-alpha-acetyltransferase 50,214441,203984,179915,,,,221408,290597,300212,,,
Q9GZZ8,Q9GZZ8,LACRT_HUMAN,LACRT,3,Extracellular glycoprotein lacritin,,,,,,,,,,,,
Q9GZZ9,E7EQ61;E7EWE1;Q9GZZ9,UBA5_HUMAN,UBA5,1,Ubiquitin-like modifier-activating enzyme 5,,,,,,,,,,,,
Q9H074;Q9H074-2;Q9H074-3,D6REB4;Q9H074-2;Q9H074-3;Q9H074,PAIP1-2_HUMAN;PAIP1-3_HUMAN;PAIP1_HUMAN,PAIP1,1,Polyadenylate-binding protein-interacting protein 1,,,,,,,,,,,,
Q9H078;Q9H078-2;Q9H078-3,A0A2R8Y602;A0A2R8YDH5;A0A2U3TZY2;F5H392;F5H7A5;H0YGM0;Q9H078-2;Q9H078-3;Q9H078-4;Q9H078-5;Q9H078,CLPB-2_HUMAN;CLPB-3_HUMAN;CLPB_HUMAN,CLPB,1,Caseinolytic peptidase B protein homolog,,34042.2,,,,,,,,,,
Q9H082,A0A494C0Z5;Q9H082,RB33B_HUMAN,RAB33B,2,Ras-related protein Rab-33B,,,,,,,,,,,,
Q9H089,F8WFC6;Q9H089,LSG1_HUMAN,LSG1,2,Large subunit GTPase 1 homolog,82594.2,,,,,,,,,,,
Q9H0A0,A0A087WV29;Q9H0A0-2;Q9H0A0,NAT10_HUMAN,NAT10,16,RNA cytidine acetyltransferase,247329,297021,252116,,,,247351,232607,200485,163121,,164518
Q9H0D6,Q9H0D6-2;Q9H0D6,XRN2_HUMAN,XRN2,10,5'-3' exoribonuclease 2,65447.3,113663,133462,,,,148368,166275,128186,,,
Q9H0E2,E9PNS3;F2Z2Y8;Q9H0E2,TOLIP_HUMAN,TOLLIP,1,Toll-interacting protein,,,,,,,24945.8,,,,,
Q9H0L4,Q9H0L4,CSTFT_HUMAN,CSTF2T,2,Cleavage stimulation factor subunit 2 tau variant,,,,,,,,,,,,
Q9H0P0,Q9H0P0-1;Q9H0P0-2;Q9H0P0-3;X6RM59;Q9H0P0,5NT3A_HUMAN,NT5C3A,1,Cytosolic 5'-nucleotidase 3A,,,,,,,,,,,,
Q9H0S4;Q9H0S4-2,F5H1N9;Q9H0S4-2;Q9H0S4,DDX47-2_HUMAN;DDX47_HUMAN,DDX47,4,Probable ATP-dependent RNA helicase DDX47,91795.4,94271.5,71593.9,,,,,,,,,
Q9H0U3,A0A087WU53;Q9H0U3,MAGT1_HUMAN,MAGT1,1,Magnesium transporter protein 1,99403.5,102091,,,,,122867,,98041.1,,,
Q9H0U4,E9PLD0;Q9H0U4,RAB1B_HUMAN,RAB1B,2,Ras-related protein Rab-1B,,,,,,,,50058.7,33602.4,,,
Q9H0U6,Q9H0U6,RM18_HUMAN,MRPL18,4,"39S ribosomal protein L18, mitochondrial",427550,375725,370809,225148,,,165072,,178405,,,88712.2
Q9H0V9;Q9H0V9-2,F8WB07;F8WEK5;Q9H0V9-2;Q9H0V9,LMA2L-2_HUMAN;LMA2L_HUMAN,LMAN2L,2,VIP36-like protein,,,,,,,,,,,,
Q9H1E3;Q9H1E3-2,Q9H1E3-2;Q9H1E3,NUCKS-2_HUMAN;NUCKS_HUMAN,NUCKS1,2,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,142479,128422,125654,,,,482531,584913,386744,,82772.9,
Q9H1K4;Q9H936,A0A0D9SEI9;A0A0D9SFA8;A0A0D9SFE1;A0A0D9SG84;E9PI74;E9PJH7;E9PQ36;K4DIA2;K4DIA8;K4DIB0;K4DIB3;K4DIB6;K4DIB8;Q9H1K4;Q9H936,GHC1_HUMAN;GHC2_HUMAN,SLC25A18;SLC25A22,1,Mitochondrial glutamate carrier 2,,,,,,,,,,,,
Q9H223,Q9H223,EHD4_HUMAN,EHD4,1,EH domain-containing protein 4,,,,,,,,,,,,
Q9H299,Q5T123;Q9H299,SH3L3_HUMAN,SH3BGRL3,3,SH3 domain-binding glutamic acid-rich-like protein 3,338034,311280,308646,,,,698695,790565,762946,,,
Q9H2C0,Q9H2C0,GAN_HUMAN,GAN,2,Gigaxonin,,,,,,,,,,,,
Q9H2H8,B8ZZ77;H7BZ14;Q9H2H8-2;Q9H2H8,PPIL3_HUMAN,PPIL3,4,Peptidyl-prolyl cis-trans isomerase-like 3,610074,655348,696678,543615,,,450309,496433,429011,431284,422344,
Q9H2H9,F8VX04;Q9H2H9,S38A1_HUMAN,SLC38A1,2,Sodium-coupled neutral amino acid transporter 1,,,,,,,,,,,,
Q9H2P0,A0A2R8Y6X0;Q9H2P0,ADNP_HUMAN,ADNP,1,Activity-dependent neuroprotector homeobox protein,,,,,,,,,,,,
Q9H2S5,A0A140T8Y9;A0A140T901;Q9H2S5,RNF39_HUMAN,RNF39,4,RING finger protein 39,,,,,,,1285220,,177319,,,
Q9H2U1;Q9H2U1-2;Q9H2U1-3,E7EWK3;Q6P158-2;Q9H2U1-2;Q9H2U1-3;Q6P158;Q9H2U1,DHX36-2_HUMAN;DHX36-3_HUMAN;DHX36_HUMAN,DHX36,2,ATP-dependent DNA/RNA helicase DHX36,,,,,,,,,,,,
Q9H2U2;Q9H2U2-2;Q9H2U2-3,D6RGI1;D6RGV9;H0Y9D8;H0YAK2;Q9H2U2-2;Q9H2U2-3;Q9H2U2,IPYR2-2_HUMAN;IPYR2-3_HUMAN;IPYR2_HUMAN,PPA2,3,"Inorganic pyrophosphatase 2, mitochondrial",303599,152613,256876,,,,176527,,190597,,,
Q9H2W2;Q9H2W2-2,Q9H2W2-2;Q9H2W2,MIXL1-2_HUMAN;MIXL1_HUMAN,MIXL1,1,Homeobox protein MIXL1,,,,,,,,,,,,
Q9H2W6,Q9H2W6,RM46_HUMAN,MRPL46,3,"39S ribosomal protein L46, mitochondrial",156593,184588,182061,,,,,,,,,
Q9H307,Q9H307,PININ_HUMAN,PNN,29,Pinin,3975460,4438230,4047030,4620080,3755700,3325420,1251000,1414120,1128720,1376410,933834,1148230
Q9H3G5,H7C0X5;H7C218;Q9H3G5,CPVL_HUMAN,CPVL,6,Probable serine carboxypeptidase CPVL,419979,475032,479818,156366,,,242996,262178,269945,,,
Q9H3K2,Q9H3K2,GHITM_HUMAN,GHITM,5,Growth hormone-inducible transmembrane protein,,,,,,,,,,,,
Q9H3K6,A0A087WZT3;H3BTW0;H3BV85;H3BVE0;Q9H3K6-2;A0A0B4J295;Q9H3K6,BOLA2_HUMAN,BOLA2B,3,BolA-like protein 2,,,,,,,455930,472738,548102,,,
Q9H3N1,G3V448;Q9H3N1,TMX1_HUMAN,TMX1,7,Thioredoxin-related transmembrane protein 1,255535,272304,296624,,,,215668,262681,202442,,,
Q9H3P2,A0A0C4DFX9;C9JEM7;C9JHL4;H0Y3X6;H7C2C7;Q9H3P2,NELFA_HUMAN,NELFA,1,Negative elongation factor A,,,,,,,,,,,,
Q9H3P7,Q9H3P7,GCP60_HUMAN,ACBD3,2,Golgi resident protein GCP60,,,,,,,,,,,,
Q9H3S1;Q9H3S1-2,Q5TCI4;Q5TCI6;Q5TCJ5;Q5TCJ7;Q9H3S1-2;Q9H3S1,SEM4A-2_HUMAN;SEM4A_HUMAN,SEMA4A,1,Semaphorin-4A,,,,,,,,,,,,
Q9H3U1;Q9H3U1-2,A0A1W2PNX8;Q9H3U1-2;Q9H3U1,UN45A-2_HUMAN;UN45A_HUMAN,UNC45A,2,Protein unc-45 homolog A,,,,,,,,,47894.1,,,
Q9H444,Q9H444,CHM4B_HUMAN,CHMP4B,2,Charged multivesicular body protein 4b,114341,112878,,,,,,258311,,,,
Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7,F5GWT4;F6UYG0;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;Q9H4A3,WNK1-2_HUMAN;WNK1-5_HUMAN;WNK1-6_HUMAN;WNK1-7_HUMAN;WNK1_HUMAN,WNK1,1,Serine/threonine-protein kinase WNK1,,,,,,1487900,1090270,,,,4678470,
Q9H4A4,A6NKB8;Q9H4A4,AMPB_HUMAN,RNPEP,2,Aminopeptidase B,,,,,,,,,,,,
Q9H4A6,Q9H4A6,GOLP3_HUMAN,GOLPH3,2,Golgi phosphoprotein 3,,,,,,,,,,,,
Q9H4D5;Q9H4D5-2,Q9H4D5-2;Q9H4D5,NXF3-2_HUMAN;NXF3_HUMAN,NXF3,2,Nuclear RNA export factor 3,,,,,,,,,,,,
Q9H4G4,Q5VZR0;Q9H4G4,GAPR1_HUMAN,GLIPR2,2,Golgi-associated plant pathogenesis-related protein 1,327290,349119,339999,,,,,,,,,
Q9H4I3,J3KPT4;Q9H4I3,TRABD_HUMAN,TRABD,1,TraB domain-containing protein,,,,,,,,,,,,
Q9H579;Q9H579-2,E7ETR9;H0Y2W4;H0Y3S5;Q9H579-2;Q9H579,MROH8-2_HUMAN;MROH8_HUMAN,MROH8,1,Protein MROH8,,,260227,,,,,,,,,
Q9H583,Q5T3Q7;Q9H583,HEAT1_HUMAN,HEATR1,5,HEAT repeat-containing protein 1,85132,137951,141260,,,,73870.6,,119567,,,138246
Q9H5V9;Q9H5V9-3,Q9H5V9-2;Q9H5V9-3;Q9H5V9,CX056-3_HUMAN;CX056_HUMAN,CXorf56,3,UPF0428 protein CXorf56,,,,,,,,,,,,
Q9H5Z1;Q9H5Z1-2,Q5THR1;Q9H5Z1-2;Q9H5Z1,DHX35-2_HUMAN;DHX35_HUMAN,DHX35,1,Probable ATP-dependent RNA helicase DHX35,,,,,,,,,,,,
Q9H633;Q9H633-2;Q9H633-3;Q9H633-4,A0A0G2JHI3;A0A0G2JIT5;A0A0G2JJ26;A0A0G2JJ52;A0A0G2JJY3;A0A140T9R9;Q9H633-2;Q9H633-3;Q9H633-4;Q9H633,RPP21-2_HUMAN;RPP21-3_HUMAN;RPP21-4_HUMAN;RPP21_HUMAN,RPP21,1,Ribonuclease P protein subunit p21,,,,,,,,,,,,
Q9H6E4,Q9H6E4,CC134_HUMAN,CCDC134,1,Coiled-coil domain-containing protein 134,162650,131288,123150,,,,,,,,,
Q9H6F5,Q9H6F5-2;Q9H6F5,CCD86_HUMAN,CCDC86,6,Coiled-coil domain-containing protein 86,361493,402675,428089,559515,,,309101,352421,322304,,,258886
Q9H6R0,Q9H6R0,DHX33_HUMAN,DHX33,2,ATP-dependent RNA helicase DHX33,,,,,,,,,,,,
Q9H6R3,A0A0B4J1R2;Q9H6R3-2;Q9H6R3,ACSS3_HUMAN,ACSS3,2,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",,,,,,,,,,,,
Q9H6R4;Q9H6R4-4,A0A0A0MRW6;Q9H6R4-2;Q9H6R4-3;Q9H6R4-4;Q9H6R4,NOL6-4_HUMAN;NOL6_HUMAN,NOL6,10,Nucleolar protein 6,,,,,,,,,,,,
Q9H6V9;Q9H6V9-2;Q9H6V9-3;Q9H6V9-4,A0A0A0MSH6;B5MCU4;B5MDU6;C9JHU6;C9JUM0;Q9H6V9-2;Q9H6V9-3;Q9H6V9-4;Q9H6V9,LDAH-2_HUMAN;LDAH-3_HUMAN;LDAH-4_HUMAN;LDAH_HUMAN,LDAH,1,Lipid droplet-associated hydrolase,,,,,,,,,,,,
Q9H6W3,Q9H6W3,RIOX1_HUMAN,RIOX1,2,Ribosomal oxygenase 1,160887,198693,114766,,,,,,,,,
Q9H6Z4;Q9H6Z4-2;Q9H6Z4-3,B7Z7F3;K7ESQ0;Q9H6Z4-2;Q9H6Z4-3;Q9H6Z4,RANB3-2_HUMAN;RANB3-3_HUMAN;RANB3_HUMAN,RANBP3,2,Ran-binding protein 3,,,,,,,380946,45217.5,,,,
Q9H773,H3BSA6;Q9H773,DCTP1_HUMAN,DCTPP1,3,dCTP pyrophosphatase 1,,88359.6,,,,,199586,233469,195637,,,
Q9H7B2,Q5VXN0;Q9H7B2,RPF2_HUMAN,RPF2,4,Ribosome production factor 2 homolog,,,,,,,,,57460.1,,,
Q9H7E9;Q9H7E9-2,A0A3B3IRR6;A0A3B3IT54;A0A3B3ITA3;Q9H7E9-2;Q9H7E9,CH033-2_HUMAN;CH033_HUMAN,C8orf33,1,UPF0488 protein C8orf33,,,,,,,,,,,,
Q9H7N4,Q9H7N4,SFR19_HUMAN,SCAF1,2,"Splicing factor, arginine/serine-rich 19",94061.9,145135,139444,108566,,,,,,,,
Q9H7Z7,A6NHH0;X6RJ95;Q9H7Z7,PGES2_HUMAN,PTGES2,4,Prostaglandin E synthase 2,,,,,,,,,,,,
Q9H845,H0Y8Z9;Q9H845,ACAD9_HUMAN,ACAD9,4,"Acyl-CoA dehydrogenase family member 9, mitochondrial",,,,,,,,,,,,
Q9H857;Q9H857-2;Q9H857-3,H7C519;Q9H857-2;Q9H857-3;Q9H857-4;Q9H857,NT5D2-2_HUMAN;NT5D2-3_HUMAN;NT5D2_HUMAN,NT5DC2,7,5'-nucleotidase domain-containing protein 2,517580,598768,561221,469916,,,,380381,,,,
Q9H8H0,J3QR28;Q9H8H0,NOL11_HUMAN,NOL11,11,Nucleolar protein 11,115646,154021,,,,,,,111859,,,
Q9H8H3,F8VQX6;H0YI09;Q9H8H3,MET7A_HUMAN,METTL7A,2,Methyltransferase-like protein 7A,,,,,,,,,61213.2,,,
Q9H8Y1,Q9H8Y1,VRTN_HUMAN,VRTN,7,Vertnin,147973,150101,112897,,,,,,44495.4,,,
Q9H8Y8;Q9H8Y8-2;Q9H8Y8-3,Q9H8Y8-2;Q9H8Y8-3;Q9H8Y8,GORS2-2_HUMAN;GORS2-3_HUMAN;GORS2_HUMAN,GORASP2,2,Golgi reassembly-stacking protein 2,134908,153358,,79074.1,,,84303,,81262.7,,,
Q9H910;Q9H910-2;Q9H910-3,A6NGP5;Q9H910-2;Q9H910-3;Q9H910,JUPI2-2_HUMAN;JUPI2-3_HUMAN;JUPI2_HUMAN,JPT2,5,Jupiter microtubule associated homolog 2,322754,312109,264682,,,,971510,1094350,849302,,,
Q9H9A6,Q9H9A6,LRC40_HUMAN,LRRC40,4,Leucine-rich repeat-containing protein 40,,,,,,,91071.7,,,,,
Q9H9B1;Q9H9B1-3;Q9H9B1-4,A0A0D9SEP2;A0A0D9SEQ1;A0A0D9SER3;A0A0D9SFG7;A0A0D9SFS4;A0A0D9SFX4;A0A1B0GU48;A0A1B0GUD1;A0A1B0GV09;A0A1B0GVZ8;A0A1B0GW79;Q9H9B1-3;Q9H9B1-4;Q9H9B1,EHMT1-3_HUMAN;EHMT1-4_HUMAN;EHMT1_HUMAN,EHMT1,2,Histone-lysine N-methyltransferase EHMT1,,,86189.2,,,,,,,,,
Q9H9B4,D6RAE9;D6RDG7;D6RFI0;S4R2X2;Q9H9B4,SFXN1_HUMAN,SFXN1,8,Sideroflexin-1,260574,361656,274760,,149059,,223589,142303,180274,,,
Q9H9J2,Q9H9J2,RM44_HUMAN,MRPL44,5,"39S ribosomal protein L44, mitochondrial",190008,189696,151809,,,,85704.7,94721.3,102191,,,
Q9H9P8;Q9H9P8-2,C9JVN9;G3V272;G3V5S1;Q9H9P8-2;Q9H9P8,L2HDH-2_HUMAN;L2HDH_HUMAN,L2HGDH,2,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",,,,,,,,,,,,
Q9H9T3;Q9H9T3-2;Q9H9T3-4;Q9H9T3-5,B4DKA4;Q9H9T3-2;Q9H9T3-4;Q9H9T3-5;Q9H9T3,ELP3-2_HUMAN;ELP3-4_HUMAN;ELP3-5_HUMAN;ELP3_HUMAN,ELP3,1,Elongator complex protein 3,,,,,,,88489,,79774.3,,,
Q9H9Y6;Q9H9Y6-3,Q9H9Y6-2;Q9H9Y6-3;Q9H9Y6-4;Q9H9Y6,RPA2-3_HUMAN;RPA2_HUMAN,POLR1B,3,DNA-directed RNA polymerase I subunit RPA2,57946.9,88900.1,,,,,,,63014.3,,,
Q9H9Z2,Q9H9Z2,LN28A_HUMAN,LIN28A,7,Protein lin-28 homolog A,2756150,2560610,2213470,880640,1044870,766952,2853180,1903790,2670120,1170960,849614,966193
Q9HAV0,H7C5J5;Q9HAV0,GBB4_HUMAN,GNB4,1,Guanine nucleotide-binding protein subunit beta-4,,,,,,,,,,,,
Q9HAV7,Q9HAV7,GRPE1_HUMAN,GRPEL1,5,"GrpE protein homolog 1, mitochondrial",293788,291939,302485,,,,173000,174706,151344,,,
Q9HB07,F8VR84;Q9HB07,MYG1_HUMAN,C12orf10,3,"UPF0160 protein MYG1, mitochondrial",,,,,,,205902,130139,137269,,,
Q9HB40,I3L4Z9;Q9HB40,RISC_HUMAN,SCPEP1,2,Retinoid-inducible serine carboxypeptidase,,,,,,,,,,,,
Q9HB66,Q9HB66,Q9HB66_HUMAN,MKKS,2,Alternative protein MKKS,,,,,,,73129.1,106828,,,,
Q9HB71,Q9HB71-3;Q9HB71,CYBP_HUMAN,CACYBP,8,Calcyclin-binding protein,,,,,,,260204,217923,251404,,,
Q9HBE1;Q9HBE1-2;Q9HBE1-3;Q9HBE1-4,A0A087WWR2;I3L2Z5;J3QSH4;P56270-2;P56270-3;Q9HBE1-2;Q9HBE1-3;Q9HBE1-4;P56270;Q14119;Q9HBE1,PATZ1-2_HUMAN;PATZ1-3_HUMAN;PATZ1-4_HUMAN;PATZ1_HUMAN,PATZ1,1,"POZ-, AT hook-, and zinc finger-containing protein 1",157867,188837,167345,,,,,95632.2,,,,
Q9HBH1,Q9HBH1,DEFM_HUMAN,PDF,2,"Peptide deformylase, mitochondrial",189933,162726,131064,,,,,,,,,
Q9HC07;Q9HC07-2,Q9HC07-2;V9GY93;V9GYC8;Q9HC07,TM165-2_HUMAN;TM165_HUMAN,TMEM165,2,Transmembrane protein 165,62743,,63430.7,,,,,,,,,
Q9HC35;Q9HC35-2,B5MBZ0;Q9HC35-2;Q9HC35,EMAL4-2_HUMAN;EMAL4_HUMAN,EML4,14,Echinoderm microtubule-associated protein-like 4,430248,482629,446291,300594,181490,,436780,527596,446666,520875,112108,462062
Q9HC36,I3L0T6;Q9HC36,MRM3_HUMAN,MRM3,1,"rRNA methyltransferase 3, mitochondrial",,89857.7,,,,,37779,54274.4,,,,
Q9HC38;Q9HC38-2,F6TLX2;I3L3Q4;Q9HC38-2;Q9HC38-3;Q9HC38,GLOD4-2_HUMAN;GLOD4_HUMAN,GLOD4,4,Glyoxalase domain-containing protein 4,,,,,,,254402,284169,351614,,,
Q9HC77;Q9HC77-2,F6VUX8;Q9HC77-2;Q9HC77,CENPJ-2_HUMAN;CENPJ_HUMAN,CENPJ,1,Centromere protein J,,,,,,504410,,,,461886,281086,
Q9HC84,Q9HC84,MUC5B_HUMAN,MUC5B,3,Mucin-5B,,,423762,,,,,,,,,
Q9HCC0;Q9HCC0-2,A0A0G2JM88;D6R9R1;D6RDF7;Q9HCC0-2;Q9HCC0,MCCB-2_HUMAN;MCCB_HUMAN,MCCC2,6,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",235453,205174,210929,,,,,155315,116103,,,
Q9HCD5,Q9HCD5,NCOA5_HUMAN,NCOA5,5,Nuclear receptor coactivator 5,157471,197575,149938,272861,,,,138299,113866,,,
Q9HCE1,Q5JR04;Q9HCE1-2;Q9HCE1,MOV10_HUMAN,MOV10,1,Helicase MOV-10,,,,,,,,,,,,
Q9HCG8,B7WP74;Q9HCG8,CWC22_HUMAN,CWC22,6,Pre-mRNA-splicing factor CWC22 homolog,223981,190821,147772,,,,,,104936,209373,,51142.7
Q9HCN8,Q9HCN8,SDF2L_HUMAN,SDF2L1,1,Stromal cell-derived factor 2-like protein 1,514331,587607,548568,191518,,,346267,273302,305729,,,153730
Q9HCS7,Q9HCS7,SYF1_HUMAN,XAB2,7,Pre-mRNA-splicing factor SYF1,307753,367908,363926,294346,301651,,,85878.6,,,,
Q9HCU5,H7C2N7;Q9HCU5,PREB_HUMAN,PREB,1,Prolactin regulatory element-binding protein,,,,,,,,,,,,
Q9HCY8,Q9HCY8,S10AE_HUMAN,S100A14,5,Protein S100-A14,608404,474566,754491,663880,1076670,712870,380633,558427,611965,1081980,1345220,1570260
Q9HD20;Q9HD20-2,Q9HD20-2;Q9HD20,AT131-2_HUMAN;AT131_HUMAN,ATP13A1,3,Manganese-transporting ATPase 13A1,,,,,,,,,,,,
Q9HD33;Q9HD33-2,Q9HD33-2;Q9HD33,RM47-2_HUMAN;RM47_HUMAN,MRPL47,4,"39S ribosomal protein L47, mitochondrial",228186,241930,,289292,,188995,174993,125953,142380,,,
Q9HD42,F8VUA2;F8VVT7;Q9HD42,CHM1A_HUMAN,CHMP1A,1,Charged multivesicular body protein 1a,,,,,,,,103570,142098,,,
Q9HD45,Q9HD45,TM9S3_HUMAN,TM9SF3,3,Transmembrane 9 superfamily member 3,306279,,150063,,,,,,,,,
Q9HDC9,H0Y512;Q9HDC9,APMAP_HUMAN,APMAP,8,Adipocyte plasma membrane-associated protein,256631,266472,249547,,,,183160,219309,159477,,,
Q9NP50,F5GZ82;F5H6U2;H0YGG0;Q9NP50,SHCAF_HUMAN,SINHCAF,1,SIN3-HDAC complex-associated factor,201763,236765,165758,101020,,,,36083.6,61896.1,,,
Q9NP55;Q9NP55-2,Q9NP55-2;Q9NP55,BPIA1-2_HUMAN;BPIA1_HUMAN,BPIFA1,3,BPI fold-containing family A member 1,495338,,,,,,100012,,,,,1129190
Q9NP72,A0A087X163;H0Y6T8;Q9NP72-2;Q9NP72,RAB18_HUMAN,RAB18,7,Ras-related protein Rab-18,,180521,449204,82740.6,,,606838,298008,441491,,,
Q9NP77,Q9NP77,SSU72_HUMAN,SSU72,2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,,,,,,,,,60227.4,,,
Q9NP79,A0A087WY55;Q5TGM0;Q9NP79-2;Q9NP79,VTA1_HUMAN,VTA1,2,Vacuolar protein sorting-associated protein VTA1 homolog,,,69286.4,,,,123273,106527,162500,,,
Q9NP81;Q9NP81-2,M0QWZ7;M0QX29;M0R259;Q9NP81-2;M0R2C6;Q9NP81,SYSM-2_HUMAN;SYSM_HUMAN,SARS2,8,"Serine--tRNA ligase, mitochondrial",158191,125494,52503.2,,,,,,84619.9,,,
Q9NP97,B1AKR6;Q9NP97,DLRB1_HUMAN,DYNLRB1,2,Dynein light chain roadblock-type 1,268454,173806,,,,,317962,,266480,,,
Q9NPA0,H0YDT8;H0YDX2;Q9NPA0,EMC7_HUMAN,EMC7,3,ER membrane protein complex subunit 7,96460.1,121096,65904.6,,,,162132,100470,115210,,,
Q9NPA8;Q9NPA8-2,E5RHT9;E5RHX8;E5RI00;E5RJ84;J3KNT2;Q9NPA8-2;Q9NPA8,ENY2-2_HUMAN;ENY2_HUMAN,ENY2,3,Transcription and mRNA export factor ENY2,572896,,,,,,,,,,304279,
Q9NPC6,Q9NPC6,MYOZ2_HUMAN,MYOZ2,1,Myozenin-2,,,,,,,,,,,,
Q9NPD3,E9PI41;Q9NPD3,EXOS4_HUMAN,EXOSC4,4,Exosome complex component RRP41,324360,325986,351231,228632,158906,,,215036,,,,
Q9NPD8,Q9NPD8,UBE2T_HUMAN,UBE2T,1,Ubiquitin-conjugating enzyme E2 T,,,,,,,,,,,,
Q9NPE3,Q9NPE3,NOP10_HUMAN,NOP10,3,H/ACA ribonucleoprotein complex subunit 3,,5183950,5780840,1747460,1773230,978973,910420,1109800,1079080,1030610,804047,830530
Q9NPF5,Q5TG40;Q9NPF5,DMAP1_HUMAN,DMAP1,2,DNA methyltransferase 1-associated protein 1,632170,,,,,443569,,,,,,
Q9NPH2;Q9NPH2-2;Q9NPH2-3,J3KRH4;Q9NPH2-2;Q9NPH2-3;Q9NPH2,INO1-2_HUMAN;INO1-3_HUMAN;INO1_HUMAN,ISYNA1,5,Inositol-3-phosphate synthase 1,,,,,,,305649,211692,290825,,,
Q9NPJ3;Q9NPJ3-2,Q9NPJ3-2;Q9NPJ3,ACO13-2_HUMAN;ACO13_HUMAN,ACOT13,2,Acyl-coenzyme A thioesterase 13,495425,493514,532007,,,,,264381,,,,
Q9NPJ8;Q9NPJ8-2;Q9NPJ8-3;Q9NPJ8-4;Q9UKK6,Q9NPJ8-2;Q9NPJ8-3;Q9NPJ8-4;Q9NPJ8;Q9UKK6,NXT1_HUMAN;NXT2-2_HUMAN;NXT2-3_HUMAN;NXT2-4_HUMAN;NXT2_HUMAN,NXT1;NXT2,1,NTF2-related export protein 2,,,,,,,,,,,,
Q9NQ29;Q9NQ29-2,A0A0A6YYJ8;A8MYV2;B8ZZ09;B8ZZ10;Q96HJ9-2;Q9NQ29-2;Q9NQ29-3;Q9Y383-2;Q9Y383-3;Q9NQ29;Q9Y383,LUC7L-2_HUMAN;LUC7L_HUMAN,LUC7L,4,Putative RNA-binding protein Luc7-like 1,,,,,,,91694,,63313.9,,,
Q9NQ38;Q9NQ38-3,E5RFU9;E7EWP9;Q9NQ38-2;Q9NQ38-3;Q9NQ38,ISK5-3_HUMAN;ISK5_HUMAN,SPINK5,1,Serine protease inhibitor Kazal-type 5,,,,,,,,,,,,
Q9NQ55;Q9NQ55-2;Q9NQ55-3,A0A0A6YYI3;A8MV53;C9J3W3;Q9NQ55-2;Q9NQ55-3;A0A0B4J1V8;Q9NQ55,SSF1-2_HUMAN;SSF1-3_HUMAN;SSF1_HUMAN,PPAN,7,Suppressor of SWI4 1 homolog,102507,129743,144755,115905,,,161244,202868,150499,186348,,100801
Q9NQ66;Q9NQ66-2,A0A087WT80;A0A087WW73;A0A0D9SGI7;A0A1B0GW62;A0A1B0GWB6;H0YCJ2;Q9NQ66-2;Q9NQ66,PLCB1-2_HUMAN;PLCB1_HUMAN,PLCB1,1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",,,,,,,,,,,,
Q9NQC3,A0A0U1RQR6;F8W914;H7C106;Q9NQC3-2;Q9NQC3-3;Q9NQC3-4;Q9NQC3-5;Q9NQC3-6;Q9NQC3,RTN4_HUMAN,RTN4,5,Reticulon-4,236815,259134,282634,,,,333536,,252697,,,
Q9NQH7;Q9NQH7-2;Q9NQH7-4,Q9NQH7-2;Q9NQH7-4;Q9NQH7,XPP3-2_HUMAN;XPP3-4_HUMAN;XPP3_HUMAN,XPNPEP3,1,Xaa-Pro aminopeptidase 3,124724,132730,,,,,,,,,,
Q9NQP4,E9PQY2;Q9NQP4,PFD4_HUMAN,PFDN4,2,Prefoldin subunit 4,,,,,,,,,,,,
Q9NQS7;Q9NQS7-2,Q9NQS7-2;Q9NQS7,INCE-2_HUMAN;INCE_HUMAN,INCENP,3,Inner centromere protein,,105896,,,,,,,,,,
Q9NQT4,Q9NQT4,EXOS5_HUMAN,EXOSC5,3,Exosome complex component RRP46,134977,,,,,,,,,,,70759
Q9NQT5,Q9NQT5,EXOS3_HUMAN,EXOSC3,1,Exosome complex component RRP40,,,,,,,,,,,,
Q9NQW7;Q9NQW7-2;Q9NQW7-3;Q9NQW7-4,Q5T6H2;Q5T6H7;Q9NQW7-2;Q9NQW7-3;Q9NQW7-4;Q9NQW7,XPP1-2_HUMAN;XPP1-3_HUMAN;XPP1-4_HUMAN;XPP1_HUMAN,XPNPEP1,1,Xaa-Pro aminopeptidase 1,432725,,,,,,,358265,296144,,,
